Trigger,Applies To,Learning Type,Sent To,Timestamp,Priority Level,Typical Response Time,Contextual Summary,Tone,Response Likelihood,Escalation Level,Feedback,Compliance Check,Actionable Links,Comments,Send Now,Employee Number,Previous Records Present,Most Active Day
60 days prior to Due Date if not enrolled on an active offering,First Time,Instructor-led,Colleague,2023-12-11 09:51:02,Low,3,Summary of the pending request.,Urgent,0.7906819685889375,None,Neutral,Pass,http://example.com/action,"Immediate action required, cannot delay!",1,3898,Yes,Friday
30 days prior to Due Date if not enrolled on an active offering,Both,Instructor-led,Colleague,2023-06-23 09:51:02,Medium,4,Summary of the pending request.,Friendly,0.5309219311457678,Level 1,Negative,Fail,http://example.com/action,"Great reminder, very helpful!",0,9915,Yes,Friday
60 days prior to Due Date if not enrolled on an active offering,First Time,Instructor-led,Colleague,2024-06-05 09:51:02,Medium,1,Summary of the pending request.,Urgent,0.381364297657629,Level 1,Negative,Fail,http://example.com/action,Important to address this as soon as possible.,1,6951,Yes,Monday
Auto-assign course(s) into plan,Both,Instructor-led,Colleague,2024-02-11 09:51:02,High,1,Summary of the pending request.,Friendly,0.0679608633757572,None,Neutral,Pass,http://example.com/action,"Always good to get these reminders, thank you!",1,2976,No,Saturday
Auto-assign course(s) into plan,Both,Instructor-led,Colleague,2024-05-02 09:51:02,High,4,Summary of the pending request.,Neutral,0.5569850322212279,Level 2,Neutral,Pass,http://example.com/action,"Noted, will review the details soon.",0,9519,Yes,Thursday
30 days prior to Due Date if not enrolled on an active offering,Both,Instructor-led,Colleague,2023-12-29 09:51:02,Medium,5,Summary of the pending request.,Urgent,0.3957666968593329,Level 1,Negative,Fail,http://example.com/action,Please prioritize this as it's extremely urgent.,0,1419,No,Monday
Auto-assign course(s) into plan,Both,Instructor-led,Colleague,2023-11-19 09:51:02,Low,6,Summary of the pending request.,Neutral,0.8117692852773923,Level 2,Positive,Fail,http://example.com/action,"Noted, will review the details soon.",0,2997,Yes,Saturday
90 days prior to Due Date if not enrolled on an active offering,First Time,Instructor-led,Colleague,2023-09-29 09:51:02,High,1,Summary of the pending request.,Friendly,0.4345637585646443,Level 2,Neutral,Fail,http://example.com/action,"Thanks for the prompt update, it's much appreciated.",1,7738,Yes,Sunday
30 days prior to Due Date if not enrolled on an active offering,Both,Instructor-led,Colleague,2023-10-22 09:51:02,Low,2,Summary of the pending request.,Neutral,0.9151264595935564,Level 2,Neutral,Fail,http://example.com/action,"Reminder received, will look into it.",1,8311,Yes,Tuesday
Assignment of a course for Reassignment,Reassignment,Both,Colleague,2024-02-13 09:51:02,Medium,3,Summary of the pending request.,Urgent,0.964574623094794,Level 1,Neutral,Fail,http://example.com/action,Please prioritize this as it's extremely urgent.,1,4675,Yes,Friday
Assignment of a course for Reassignment,Reassignment,Both,Colleague,2023-12-31 09:51:02,High,7,Summary of the pending request.,Friendly,0.2052055751428764,Level 2,Positive,Pass,http://example.com/action,"Always good to get these reminders, thank you!",0,7943,Yes,Thursday
30 days prior to Due Date if not enrolled on an active offering,Both,Instructor-led,Colleague,2023-12-08 09:51:02,High,7,Summary of the pending request.,Friendly,0.2984447914486329,Level 2,Negative,Pass,http://example.com/action,Appreciate the clarity in this reminder.,0,3797,Yes,Tuesday
Auto-assign course(s) into plan,Both,Instructor-led,Colleague,2023-08-18 09:51:02,Low,1,Summary of the pending request.,Neutral,0.5757967284124141,Level 1,Neutral,Pass,http://example.com/action,"Okay, I will check this out.",1,6966,Yes,Saturday
Assignment of a course for Reassignment,Reassignment,Both,Colleague,2024-01-08 09:51:02,Medium,3,Summary of the pending request.,Neutral,0.3987301842569533,Level 2,Positive,Fail,http://example.com/action,"Reminder received, will look into it.",1,2248,Yes,Tuesday
30 days prior to Due Date if not enrolled on an active offering,Both,Instructor-led,Colleague,2024-06-08 09:51:02,Medium,6,Summary of the pending request.,Neutral,0.0157317668692197,Level 2,Negative,Fail,http://example.com/action,"Reminder received, will look into it.",0,6797,Yes,Monday
90 days prior to Due Date if not enrolled on an active offering,First Time,Instructor-led,Colleague,2024-06-04 09:51:02,Low,4,Summary of the pending request.,Friendly,0.9402918917795542,None,Negative,Pass,http://example.com/action,"Helpful reminder, keeps everything on track!",0,8546,Yes,Thursday
60 days prior to Due Date if not enrolled on an active offering,First Time,Instructor-led,Colleague,2023-12-23 09:51:02,Medium,5,Summary of the pending request.,Friendly,0.273457536755423,None,Negative,Fail,http://example.com/action,Appreciate the clarity in this reminder.,0,9577,Yes,Tuesday
Assignment of a course for Reassignment,Reassignment,Both,Colleague,2023-06-26 09:51:02,Low,6,Summary of the pending request.,Urgent,0.8926598262113665,None,Neutral,Pass,http://example.com/action,"Immediate action required, cannot delay!",0,2605,No,Friday
60 days prior to Due Date if not enrolled on an active offering,First Time,Instructor-led,Colleague,2024-06-11 09:51:02,High,3,Summary of the pending request.,Neutral,0.3403388431642836,Level 2,Negative,Fail,http://example.com/action,"Acknowledged, will take the necessary steps.",1,1846,Yes,Friday
60 days prior to Due Date if not enrolled on an active offering,First Time,Instructor-led,Colleague,2023-08-23 09:51:02,Low,1,Summary of the pending request.,Urgent,0.075243860073767,Level 2,Positive,Pass,http://example.com/action,"This is an urgent matter, please address it immediately.",1,8561,No,Monday
60 days prior to Due Date if not enrolled on an active offering,First Time,Instructor-led,Colleague,2023-09-15 09:51:02,Medium,6,Summary of the pending request.,Neutral,0.7073086437060769,Level 1,Positive,Fail,http://example.com/action,"Acknowledged, will take the necessary steps.",0,3551,No,Sunday
60 days prior to Due Date if not enrolled on an active offering,First Time,Instructor-led,Colleague,2023-07-13 09:51:02,Medium,7,Summary of the pending request.,Urgent,0.0930533505546716,None,Neutral,Pass,http://example.com/action,Please prioritize this as it's extremely urgent.,0,7469,Yes,Saturday
60 days prior to Due Date if not enrolled on an active offering,First Time,Instructor-led,Colleague,2024-03-22 09:51:02,High,6,Summary of the pending request.,Friendly,0.9052075743133589,None,Negative,Pass,http://example.com/action,"Helpful reminder, keeps everything on track!",0,4310,Yes,Friday
90 days prior to Due Date if not enrolled on an active offering,First Time,Instructor-led,Colleague,2023-07-17 09:51:02,Medium,3,Summary of the pending request.,Urgent,0.2109828435863264,Level 2,Negative,Fail,http://example.com/action,Important to address this as soon as possible.,1,7809,Yes,Wednesday
90 days prior to Due Date if not enrolled on an active offering,First Time,Instructor-led,Colleague,2024-03-19 09:51:02,Medium,4,Summary of the pending request.,Urgent,0.2441974321839684,Level 1,Negative,Pass,http://example.com/action,"This is an urgent matter, please address it immediately.",0,9162,Yes,Thursday
60 days prior to Due Date if not enrolled on an active offering,First Time,Instructor-led,Colleague,2023-07-13 09:51:02,Medium,7,Summary of the pending request.,Urgent,0.0930533505546716,None,Neutral,Pass,http://example.com/action,Please prioritize this as it's extremely urgent.,0,7469,Yes,Saturday
30 days prior to Due Date if not enrolled on an active offering,Both,Instructor-led,Colleague,2024-01-26 09:51:02,Medium,2,Summary of the pending request.,Neutral,0.5892656838759087,None,Positive,Fail,http://example.com/action,"Reminder received, will look into it.",1,1302,Yes,Thursday
30 days prior to Due Date if not enrolled on an active offering,Both,Instructor-led,Colleague,2023-12-17 09:51:02,Low,4,Summary of the pending request.,Neutral,0.0296256589451651,Level 1,Neutral,Fail,http://example.com/action,"Noted, will review the details soon.",0,8643,Yes,Wednesday
60 days prior to Due Date if not enrolled on an active offering,First Time,Instructor-led,Colleague,2023-07-28 09:51:02,High,1,Summary of the pending request.,Neutral,0.60829742363344,None,Positive,Fail,http://example.com/action,"Received the reminder, action pending.",1,3190,No,Wednesday
30 days prior to Due Date if not enrolled on an active offering,Both,Instructor-led,Colleague,2023-07-31 09:51:02,Medium,6,Summary of the pending request.,Urgent,0.7669590009163111,Level 1,Negative,Pass,http://example.com/action,"Immediate action required, cannot delay!",0,4417,Yes,Thursday
30 days prior to Due Date if not enrolled on an active offering,Both,Instructor-led,Colleague,2023-11-01 09:51:02,Low,7,Summary of the pending request.,Urgent,0.7618596199711071,Level 2,Negative,Pass,http://example.com/action,"This is an urgent matter, please address it immediately.",0,3713,Yes,Tuesday
90 days prior to Due Date if not enrolled on an active offering,First Time,Instructor-led,Colleague,2023-12-31 09:51:02,Medium,4,Summary of the pending request.,Neutral,0.6788977205595811,None,Negative,Fail,http://example.com/action,"Reminder received, will look into it.",0,2865,Yes,Monday
Assignment of a course for Reassignment,Reassignment,Both,Colleague,2023-07-22 09:51:02,High,5,Summary of the pending request.,Friendly,0.1140266398385525,Level 2,Positive,Fail,http://example.com/action,Appreciate the clarity in this reminder.,0,3204,Yes,Friday
90 days prior to Due Date if not enrolled on an active offering,First Time,Instructor-led,Colleague,2024-03-07 09:51:02,Low,3,Summary of the pending request.,Friendly,0.962029072823442,Level 2,Neutral,Fail,http://example.com/action,"Always good to get these reminders, thank you!",1,4391,No,Wednesday
Assignment of a course for Reassignment,Reassignment,Both,Colleague,2024-03-15 09:51:02,Medium,5,Summary of the pending request.,Friendly,0.6681884704454936,Level 1,Positive,Fail,http://example.com/action,"Always good to get these reminders, thank you!",0,5289,No,Wednesday
